id,etag,title,authors,publishedDate,description,pageCount,printType,maturityRating,imageLinks,language,previewLink,textSnippet,ISBN_10,ISBN_13
IGvdhaVC5QwC,SXHRTjIf9rs,The Fellowship of the Ring,"John Ronald Reuel Tolkien, Christina Scull",2005,'The Fellowship of the Ring' is the first part of JRR Tolkien's epic masterpiece 'The Lord of the Rings'. This 50th anniversary edition features special packaging and includes the definitive edition of the text.|PB,571.0,BOOK,NOT_MATURE,http://books.google.com/books/content?id=IGvdhaVC5QwC&printsec=frontcover&img=1&zoom=1&source=gbs_api,en,http://books.google.co.in/books?id=IGvdhaVC5QwC&dq=lord+of+the+rings&hl=&cd=1&source=gbs_api,&#39;The Fellowship of the Ring&#39; is the first part of JRR Tolkien&#39;s epic masterpiece &#39;The Lord of the Rings&#39;. This 50th anniversary edition features special packaging and includes the definitive edition of the text.|PB,0007203586,9780007203581
ld5GswEACAAJ,57nq40xvYAs,The Fellowship of the Ring,John Ronald Reuel Tolkien,2005,Frodo the hobbit and a band of warriors from the different kingdoms set out to destroy the Ring of Power before the evil Sauron grasps control.,531.0,BOOK,NOT_MATURE,http://books.google.com/books/content?id=ld5GswEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,en,http://books.google.co.in/books?id=ld5GswEACAAJ&dq=lord+of+the+rings&hl=&cd=2&source=gbs_api,Frodo the hobbit and a band of warriors from the different kingdoms set out to destroy the Ring of Power before the evil Sauron grasps control.,1484482352,9781484482353
xBEx0AEACAAJ,QWmo/rI0LwQ,The Fellowship of the Ring,John Ronald Reuel Tolkien,2004,Frodo the hobbit and a band of warriors from the different kingdoms set out to destroy the Ring of Power before the evil Sauron grasps control.,0.0,BOOK,NOT_MATURE,,en,http://books.google.co.in/books?id=xBEx0AEACAAJ&dq=lord+of+the+rings&hl=&cd=3&source=gbs_api,Frodo the hobbit and a band of warriors from the different kingdoms set out to destroy the Ring of Power before the evil Sauron grasps control.,0329416375,9780329416379
Jelk7EMpA7sC,LQB5y7JD9iY,The Lord of the Rings,John Ronald Reuel Tolkien,1991,"A beautiful illustrated boxed set collecting the two most popular Tolkien hardbacks -- the Centenary edition of The Lord of the Rings and the 60th Anniversary edition of The Hobbit, both illustrated by Alan Lee. Since they were first published, The Hobbit and The Lord of the Rings have been two books people have treasured. Steeped in unrivalled magic and otherworldliness, these works of sweeping fantasy have touched the hearts of young and old alike. Between them, nearly 100 million copies have been sold around the world. And no editions have proved more popular than the two that were illustrated by award-winning artist, Alan Lee -- the Centenary edition of The Lord of the Rings and the 60th Anniversary edition of The Hobbit. Now, for the first time, these two beautifully illustrated hardbacks have been collected together into one deluxe boxed set. Readers will be able to follow the complete story of the Hobbits and their part in the quest for the Ring -- beginning with Bilbo's fateful visit from Gandalf and culminating in the dramatic climax between Frodo and Gollum atop Mount Doom -- while also enjoying over seventy full-page colour paintings and numerous illustrations which acco",1193.0,BOOK,NOT_MATURE,http://books.google.com/books/content?id=Jelk7EMpA7sC&printsec=frontcover&img=1&zoom=1&source=gbs_api,en,http://books.google.co.in/books?id=Jelk7EMpA7sC&q=lord+of+the+rings&dq=lord+of+the+rings&hl=&cd=4&source=gbs_api,"A beautiful illustrated boxed set collecting the two most popular Tolkien hardbacks -- the Centenary edition of The Lord of the Rings and the 60th Anniversary edition of The Hobbit, both illustrated by Alan Lee.",0261102435,9780261102439
FKziXsnqLTEC,AEwtKmIeF80,"The Lord of the Rings: The Fellowship of the Ring, The Two Towers, The Return of the King",J. R. R. Tolkien,2009-04-20,"All three parts of the epic masterpiece The Lord of the Rings – The Fellowship of the Ring, The Two Towers & The Return of the King – available as one download, featuring the definitive edition of the text, hyperlinked footnotes and page references, and 3 maps including a detailed map of Middle-earth.",1227.0,BOOK,NOT_MATURE,http://books.google.com/books/content?id=FKziXsnqLTEC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,en,http://books.google.co.in/books?id=FKziXsnqLTEC&printsec=frontcover&dq=lord+of+the+rings&hl=&cd=5&source=gbs_api,"All three parts of the epic masterpiece The Lord of the Rings – The Fellowship of the Ring, The Two Towers &amp; The Return of the King – available as one download, featuring the definitive edition of the text, hyperlinked footnotes and ...",0007322593,9780007322596
I8mxughWAOEC,R78dIbuZR2E,The Lord of the Rings,Ernest Mathijs,2006,"Bringing together leading scholars in the fields of media and film studies to explore the various strategies and implications underlying the global presence of 'Lord of the Rings', this book covers different national contexts and presents a lively and diverse combination of textual, historical and empirical study.",368.0,BOOK,NOT_MATURE,http://books.google.com/books/content?id=I8mxughWAOEC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,en,http://books.google.co.in/books?id=I8mxughWAOEC&printsec=frontcover&dq=lord+of+the+rings&hl=&cd=6&source=gbs_api,"Bringing together leading scholars in the fields of media and film studies to explore the various strategies and implications underlying the global presence of &#39;Lord of the Rings&#39;, this book covers different national contexts and presents a ...",1904764827,9781904764823
xFr92V2k3PIC,U55MhW1Ve6M,"The Fellowship of the Ring (The Lord of the Rings, Book 1)",J. R. R. Tolkien,2009-04-20,The first part of J. R. R. Tolkien’s epic adventure THE LORD OF THE RINGS ‘A most remarkable feat’ Guardian,442.0,BOOK,NOT_MATURE,http://books.google.com/books/content?id=xFr92V2k3PIC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,en,http://books.google.co.in/books?id=xFr92V2k3PIC&printsec=frontcover&dq=lord+of+the+rings&hl=&cd=7&source=gbs_api,The first part of J. R. R. Tolkien’s epic adventure THE LORD OF THE RINGS ‘A most remarkable feat’ Guardian,0007322496,9780007322497
0CFAjgEACAAJ,GOBLDwlquCo,The Lord of the Rings,J. R. R. Tolkien,2005-06,"Contains the fiftieth anniversay edition of all three volumes of J.R.R. Tolkien's classic ""Lord of the Rings,"" and includes textual notes, reference materials, and index.",0.0,BOOK,NOT_MATURE,http://books.google.com/books/content?id=0CFAjgEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,en,http://books.google.co.in/books?id=0CFAjgEACAAJ&dq=lord+of+the+rings&hl=&cd=8&source=gbs_api,"Contains the fiftieth anniversay edition of all three volumes of J.R.R. Tolkien&#39;s classic &quot;Lord of the Rings,&quot; and includes textual notes, reference materials, and index.",0618574999,9780618574995
GyrbDwAAQBAJ,POM9QT/A/0c,The Lord of the Rings#1: Sembilan Pembawa Cincin (The Lord of the Rings Fellowship),J.R.R. Tolkien,2020-04-06,"Di sebuah desa yang tenang di Shire, seorang hobbit muda bernama Frodo Baggins mendapat warisan cincin bertuah yang menyimpan kekuatan dahsyat. Agar cincin utama itu tidak jatuh ke tangan Sauron yang jahat, Frodo mesti mengadakan perjalanan panjang dan penuh bahaya ke gunung api di Mordor, untuk memusnahkan cincin tersebut. Bersama kedelapan sahabatnya, ia berangkat. Dipimpin oleh Gandalf sang penyihir, kesembilan pembawa cincin itu memulai perjalanan. Tapi Sauron dan para anak buahnya tidak tinggal diam.",512.0,BOOK,MATURE,http://books.google.com/books/content?id=GyrbDwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,id,http://books.google.co.in/books?id=GyrbDwAAQBAJ&printsec=frontcover&dq=lord+of+the+rings&hl=&cd=9&source=gbs_api,"Di sebuah desa yang tenang di Shire, seorang hobbit muda bernama Frodo Baggins mendapat warisan cincin bertuah yang menyimpan kekuatan dahsyat.",6020615111,9786020615110
WkGTEAAAQBAJ,i0cS7YYafZ4,The Fellowship of the Ring,J.R.R. Tolkien,1986-08-12,"The opening novel of The Lord of the Rings—the greatest fantasy epic of all time—which continues in The Two Towers and The Return of the King. Nominated as one of America’s best-loved novels by PBS’s The Great American Read The dark, fearsome Ringwraiths are searching for a Hobbit. Frodo Baggins knows that they are seeking him and the Ring he bears—the Ring of Power that will enable evil Sauron to destroy all that is good in Middle-earth. Now it is up to Frodo and his faithful servant, Sam, with a small band of companions, to carry the Ring to the one place it can be destroyed: Mount Doom, in the very center of Sauron’s realm.",0.0,BOOK,NOT_MATURE,http://books.google.com/books/content?id=WkGTEAAAQBAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,en,http://books.google.co.in/books?id=WkGTEAAAQBAJ&dq=lord+of+the+rings&hl=&cd=10&source=gbs_api,The opening novel of The Lord of the Rings—the greatest fantasy epic of all time—which continues in The Two Towers and The Return of the King.,0345339703,9780345339706
Yz8Fnw0PlEQC,uo+4KN1bHp8,"The Hunger Games (Hunger Games, Book One)",Suzanne Collins,2009-09-01,"This Special Edition of The Hunger Games includes the most extensive interview Suzanne Collins has given since the publication of The Hunger Games; an absorbing behind-the-scenes look at the creation of the series; and an engaging archival conversation between Suzanne Collins and YA legend Walter Dean Myers on writing about war. The Special Edition answers many questions fans have had over the years, and gives great insight into the creation of this era-defining work. In the ruins of a place once known as North America lies the nation of Panem, a shining Capitol surrounded by twelve outlying districts. The Capitol keeps the districts in line by forcing them all to send one boy and one girl between the ages of twelve and eighteen to participate in the annual Hunger Games, a fight to the death on live TV.Sixteen-year-old Katniss Everdeen regards it as a death sentence when she steps forward to take her sister's place in the Games. But Katniss has been close to death before-and survival, for her, is second nature. Still, if she is to win, she will have to start making choices that weigh survival against humanity and life against love.",387.0,BOOK,NOT_MATURE,http://books.google.com/books/content?id=Yz8Fnw0PlEQC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,en,http://books.google.co.in/books?id=Yz8Fnw0PlEQC&printsec=frontcover&dq=the+hunger+games&hl=&cd=1&source=gbs_api,This Special Edition of The Hunger Games includes the most extensive interview Suzanne Collins has given since the publication of The Hunger Games; an absorbing behind-the-scenes look at the creation of the series; and an engaging archival ...,0545229936,9780545229937
zM-vZ-JiSFYC,ivm4xNC92z4,The Hunger Games Trilogy,Suzanne Collins,2011-05-01,"The stunning Hunger Games trilogy is complete! The extraordinary, ground breaking New York Times bestsellers The Hunger Games and Catching Fire, along with the third book in The Hunger Games trilogy by Suzanne Collins, Mockingjay, are available for the first time ever in e-book. Stunning, gripping, and powerful.",1485.0,BOOK,NOT_MATURE,http://books.google.com/books/content?id=zM-vZ-JiSFYC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,en,http://books.google.co.in/books?id=zM-vZ-JiSFYC&printsec=frontcover&dq=the+hunger+games&hl=&cd=2&source=gbs_api,"The extraordinary, ground breaking New York Times bestsellers The Hunger Games and Catching Fire, along with the third book in The Hunger Games trilogy by Suzanne Collins, Mockingjay, are available for the first time ever in e-book.",0545387205,9780545387200
_zSzAwAAQBAJ,FU7x4UHL7jE,The Hunger Games,Suzanne Collins,2011-12,"First in the ground-breaking HUNGER GAMES trilogy. In a vision of the near future, a terrifying reality TV show is taking place. Twelve boys and twelve girls are forced to appear in a live event called The Hunger Games. There is only one rule: kill or be killed. But Katniss has been close to death before. For her, survival is second nature.",302.0,BOOK,NOT_MATURE,http://books.google.com/books/content?id=_zSzAwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,en,http://books.google.co.in/books?id=_zSzAwAAQBAJ&printsec=frontcover&dq=the+hunger+games&hl=&cd=3&source=gbs_api,"First in the ground-breaking HUNGER GAMES trilogy. In a vision of the near future, a terrifying reality TV show is taking place. Twelve boys and twelve girls are forced to appear in a live event called The Hunger Games.",1407133179,9781407133171
FN5wMOZKTYMC,UAte/tlrrRg,"Catching Fire (Hunger Games, Book Two)",Suzanne Collins,2010-06-01,"The second book in Suzanne Collins's phenomenal and worldwide bestselling Hunger Games trilogy. Against all odds, Katniss Everdeen has won the annual Hunger Games with fellow district tribute Peeta Mellark. But it was a victory won by defiance of the Capitol and their harsh rules. Katniss and Peeta should be happy. After all, they have just won for themselves and their families a life of safety and plenty. But there are rumors of rebellion among the subjects, and Katniss and Peeta, to their horror, are the faces of that rebellion. The Capitol is angry. The Capitol wants revenge.",402.0,BOOK,NOT_MATURE,http://books.google.com/books/content?id=FN5wMOZKTYMC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,en,http://books.google.co.in/books?id=FN5wMOZKTYMC&printsec=frontcover&dq=the+hunger+games&hl=&cd=4&source=gbs_api,The second book in Suzanne Collins&#39;s phenomenal and worldwide bestselling Hunger Games trilogy.,0545227240,9780545227247
jEFXzQEACAAJ,SnBwoNAcpKY,The Hunger Games,Suzanne Collins,2020,"This beautiful hardcover box set includes all three books in Suzanne Collins's internationally bestselling Hunger Games trilogy together with The Ballad of Songbirds and Snakes. In the ruins of a place once known as North America lies the nation of Panem, a shining Capitol surrounded by twelve outlying districts. The Capitol keeps the districts in line by forcing them all to send one boy and one girl between the ages of twelve and eighteen to participate in the annual Hunger Games, a fight to the death on live TV...And the odds are against all who play. With all four of Suzanne Collins's Hunger Games novels in one box set, you can step into the world of Panem with the 10th annual Hunger Games, and continue all the way to the electrifying conclusion.",0.0,BOOK,NOT_MATURE,http://books.google.com/books/content?id=jEFXzQEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,en,http://books.google.co.in/books?id=jEFXzQEACAAJ&dq=the+hunger+games&hl=&cd=5&source=gbs_api,"With all four of Suzanne Collins&#39;s Hunger Games novels in one box set, you can step into the world of Panem with the 10th annual Hunger Games, and continue all the way to the electrifying conclusion.",1338686534,9781338686531
NrahDwAAQBAJ,sIBOi7cWp/k,The Ballad of Songbirds and Snakes (A Hunger Games Novel),Suzanne Collins,2020-05-19,"Ambition will fuel him. Competition will drive him. But power has its price. It is the morning of the reaping that will kick off the tenth annual Hunger Games. In the Capitol, eighteen-year-old Coriolanus Snow is preparing for his one shot at glory as a mentor in the Games. The once-mighty house of Snow has fallen on hard times, its fate hanging on the slender chance that Coriolanus will be able to outcharm, outwit, and outmaneuver his fellow students to mentor the winning tribute. The odds are against him. He's been given the humiliating assignment of mentoring the female tribute from District 12, the lowest of the low. Their fates are now completely intertwined - every choice Coriolanus makes could lead to favor or failure, triumph or ruin. Inside the arena, it will be a fight to the death. Outside the arena, Coriolanus starts to feel for his doomed tribute . . . and must weigh his need to follow the rules against his desire to survive no matter what it takes.",747.0,BOOK,NOT_MATURE,http://books.google.com/books/content?id=NrahDwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,en,http://books.google.co.in/books?id=NrahDwAAQBAJ&printsec=frontcover&dq=the+hunger+games&hl=&cd=6&source=gbs_api,Ambition will fuel him.,1338635182,9781338635188
WXVGBAAAQBAJ,FQIrjxvSlts,The World of the Hunger Games,Kate Egan,2012-03-24,"Welcome to Panem, the world of The Hunger Games. This is the definitive, richly illustrated, full-colour guide to all the districts of Panem, all the participants in The Hunger Games, and the life and home of Katniss Everdeen. A must-have for fans of both the Hunger Games novels and the new Hunger Games film.",154.0,BOOK,NOT_MATURE,http://books.google.com/books/content?id=WXVGBAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,en,http://books.google.co.in/books?id=WXVGBAAAQBAJ&printsec=frontcover&dq=the+hunger+games&hl=&cd=7&source=gbs_api,"Welcome to Panem, the world of The Hunger Games. This is the definitive, richly illustrated, full-colour guide to all the districts of Panem, all the participants in The Hunger Games, and the life and home of Katniss Everdeen.",1407134744,9781407134741
Iw_gHtk4ghYC,n0LshD89Qgs,"Mockingjay (Hunger Games, Book Three)",Suzanne Collins,2010-08-24,"The greatly anticipated final book in the New York Times bestselling Hunger Games trilogy by Suzanne Collins. The greatly anticipated final book in the New York Times bestselling Hunger Games trilogy by Suzanne Collins.The Capitol is angry. The Capitol wants revenge. Who do they think should pay for the unrest? Katniss Everdeen. The final book in The Hunger Games trilogy by Suzanne Collins will have hearts racing, pages turning, and everyone talking about one of the biggest and most talked-about books and authors in recent publishing history!",402.0,BOOK,NOT_MATURE,http://books.google.com/books/content?id=Iw_gHtk4ghYC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,en,http://books.google.co.in/books?id=Iw_gHtk4ghYC&printsec=frontcover&dq=the+hunger+games&hl=&cd=8&source=gbs_api,"Katniss Everdeen. The final book in The Hunger Games trilogy by Suzanne Collins will have hearts racing, pages turning, and everyone talking about one of the biggest and most talked-about books and authors in recent publishing history!",0545317800,9780545317801
TSSvFxYBu3MC,OSGQfg3oWPU,Approaching the Hunger Games Trilogy,Tom Henthorne,2012-07-26,"This book addresses Suzanne Collins's work from a number of literary and cultural perspectives in an effort to better understand both its significance and its appeal. It takes an interdisciplinary approach to the Hunger Games trilogy, drawing from literary studies, psychology, gender studies, media studies, philosophy, and cultural studies. An analytical rather than evaluative work, it dispenses with extended theoretical discussions and academic jargon. Assuming that readers are familiar with the entire trilogy, the book also avoids plot summary and character analysis, instead focusing on the significance of the story and its characters. It includes a biographical essay, glossaries, questions for further study, and an extensive bibliography. Instructors considering this book for use in a course may request an examination copy here.",203.0,BOOK,NOT_MATURE,http://books.google.com/books/content?id=TSSvFxYBu3MC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,en,http://books.google.co.in/books?id=TSSvFxYBu3MC&printsec=frontcover&dq=the+hunger+games&hl=&cd=9&source=gbs_api,This book addresses Suzanne Collins&#39;s work from a number of literary and cultural perspectives in an effort to better understand both its significance and its appeal.,0786468645,9780786468645
dyevo2Bz6a4C,zZ1GFPW8Gnw,Year of the Jungle: Memories from the Home Front,Suzanne Collins,2013-08-27,"NEW YORK TIMES bestselling author Suzanne Collins has created a deeply moving autobiographical picture book about a father who must go off to the war in Vietnam -- and the daughter who stays behind.When young Suzy's father leaves for Vietnam, she struggles to understand what this means for her and her family. What is the jungle like? Will her father be safe? When will he return? The months slip by, marked by the passing of the familiar holidays and the postcards that her father sends. With each one, he feels more and more distant, until Suzy isn't sure she'd even recognize her father anymore.This heartfelt and accessible picture book by Suzanne Collins, the NEW YORK TIMES bestselling author of the Hunger Games series, is accompanied by James Proimos's sweet and funny illustrations. This picture book will speak to any child who has had to spend time away from a parent.",44.0,BOOK,NOT_MATURE,http://books.google.com/books/content?id=dyevo2Bz6a4C&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,en,http://books.google.co.in/books?id=dyevo2Bz6a4C&printsec=frontcover&dq=the+hunger+games&hl=&cd=10&source=gbs_api,This picture book will speak to any child who has had to spend time away from a parent.,0545623057,9780545623056
U799AY3yfqcC,EZf1HedQiOk,The Hobbit,J. R. R. Tolkien,2009-04-20,"This is the story of how a Baggins had an adventure, and found himself doing and saying things altogether unexpected... ‘A flawless masterpiece’ The Times",330.0,BOOK,NOT_MATURE,http://books.google.com/books/content?id=U799AY3yfqcC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,en,http://books.google.co.in/books?id=U799AY3yfqcC&printsec=frontcover&dq=the+hobbit&hl=&cd=1&source=gbs_api,"This is the story of how a Baggins had an adventure, and found himself doing and saying things altogether unexpected... ‘A flawless masterpiece’ The Times",0007322607,9780007322602
